id	sex	population	region	dataset
HG03949	F	STU	SAS	KGP
HG03950	M	STU	SAS	KGP
HG03951	F	STU	SAS	KGP
HG03953	M	STU	SAS	KGP
HG03955	F	STU	SAS	KGP
HG03960	M	ITU	SAS	KGP
HG03963	M	ITU	SAS	KGP
HG03965	M	ITU	SAS	KGP
HG03967	M	ITU	SAS	KGP
HG03968	F	ITU	SAS	KGP
HG03969	M	ITU	SAS	KGP
HG03971	M	ITU	SAS	KGP
HG03973	F	ITU	SAS	KGP
HG03974	M	ITU	SAS	KGP
HG03976	M	ITU	SAS	KGP
HG03977	F	ITU	SAS	KGP
HG03978	M	ITU	SAS	KGP
HG03985	M	STU	SAS	KGP
HG03986	F	STU	SAS	KGP
HG03989	F	STU	SAS	KGP
HG03990	M	STU	SAS	KGP
HG03991	M	STU	SAS	KGP
HG03992	M	STU	SAS	KGP
HG03995	F	STU	SAS	KGP
HG03998	M	STU	SAS	KGP
HG03999	M	STU	SAS	KGP
HG04001	F	ITU	SAS	KGP
HG04002	M	ITU	SAS	KGP
HG04003	M	STU	SAS	KGP
HG04006	M	STU	SAS	KGP
HG04014	F	ITU	SAS	KGP
HG04015	M	ITU	SAS	KGP
HG04017	M	ITU	SAS	KGP
HG04018	F	ITU	SAS	KGP
HG04019	M	ITU	SAS	KGP
HG04020	M	ITU	SAS	KGP
HG04022	M	ITU	SAS	KGP
HG04023	M	ITU	SAS	KGP
HG04025	F	ITU	SAS	KGP
HG04026	F	ITU	SAS	KGP
HG04029	F	STU	SAS	KGP
HG04033	M	STU	SAS	KGP
HG04035	F	STU	SAS	KGP
HG04036	F	STU	SAS	KGP
HG04038	F	STU	SAS	KGP
HG04039	M	STU	SAS	KGP
HG04042	F	STU	SAS	KGP
HG04047	F	STU	SAS	KGP
HG04054	F	ITU	SAS	KGP
HG04056	M	ITU	SAS	KGP
HG04059	F	ITU	SAS	KGP
HG04060	M	ITU	SAS	KGP
HG04061	M	ITU	SAS	KGP
HG04062	F	ITU	SAS	KGP
HG04063	F	ITU	SAS	KGP
HG04070	F	ITU	SAS	KGP
HG04075	F	STU	SAS	KGP
HG04076	F	ITU	SAS	KGP
HG04080	M	ITU	SAS	KGP
HG04090	F	ITU	SAS	KGP
HG04093	M	ITU	SAS	KGP
HG04094	M	ITU	SAS	KGP
HG04096	M	ITU	SAS	KGP
HG04098	M	ITU	SAS	KGP
HG04099	F	STU	SAS	KGP
HG04100	M	STU	SAS	KGP
HG04106	F	STU	SAS	KGP
HG04107	M	STU	SAS	KGP
HG04115	M	STU	SAS	KGP
HG04118	F	ITU	SAS	KGP
HG04122	M	STU	SAS	KGP
HG04127	M	STU	SAS	KGP
HG04131	M	BEB	SAS	KGP
HG04132	F	BEB	SAS	KGP
HG04133	F	BEB	SAS	KGP
HG04134	M	BEB	SAS	KGP
HG04135	F	BEB	SAS	KGP
HG04136	F	BEB	SAS	KGP
HG04140	M	BEB	SAS	KGP
HG04141	F	BEB	SAS	KGP
HG04142	F	BEB	SAS	KGP
HG04144	F	BEB	SAS	KGP
HG04146	M	BEB	SAS	KGP
HG04147	F	BEB	SAS	KGP
HG04148	F	BEB	SAS	KGP
HG04149	M	BEB	SAS	KGP
HG04150	F	BEB	SAS	KGP
HG04151	F	BEB	SAS	KGP
HG04152	M	BEB	SAS	KGP
HG04153	F	BEB	SAS	KGP
HG04155	M	BEB	SAS	KGP
HG04156	F	BEB	SAS	KGP
HG04157	M	BEB	SAS	KGP
HG04158	M	BEB	SAS	KGP
HG04159	F	BEB	SAS	KGP
HG04160	M	BEB	SAS	KGP
HG04161	M	BEB	SAS	KGP
HG04162	F	BEB	SAS	KGP
HG04164	M	BEB	SAS	KGP
HG04171	F	BEB	SAS	KGP
HG04173	M	BEB	SAS	KGP
HG04174	F	BEB	SAS	KGP
HG04175	F	BEB	SAS	KGP
HG04176	M	BEB	SAS	KGP
HG04177	F	BEB	SAS	KGP
HG04180	F	BEB	SAS	KGP
HG04182	M	BEB	SAS	KGP
HG04183	F	BEB	SAS	KGP
HG04184	F	BEB	SAS	KGP
